protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count,isBot
0,0,0,-0.058995976601959786,-0.10176466287554131,-0.37538982191186165,-0.06443536217701232,1,-0.2774997737987618,0,-0.2707316969190595,0,-0.26493646831291706,-0.22636207864700622,0,1,1,3312,0.0341183574879227,4309,1
0,0,0,-0.05850914503033106,-0.06198161996799375,-0.024002288438755532,-0.06427380722703199,1,-0.2774997737987618,0,-1.1938926575689026,0,-0.26493646831291706,-0.22636207864700622,0,1,0,3506,9.458642327438676,2002648,0
0,0,1,-0.058916816996816904,-0.09242720555702671,-0.20685692248730403,-0.06233514782726808,1,0.09400293393199566,0,0.467797071600815,0,-0.26493646831291706,-0.22636207864700622,0,1,1,3877,4.117616713954088,111946,0
0,0,1,-0.057353054978857974,0.0782323156618184,-0.321707239791201,-0.05942715872762221,1,1.5800137648550254,0,0.09853268734087775,0,6.295221910309444,-0.22636207864700622,1,1,1,4928,1.0474837662337662,27844029,0
0,0,1,-0.05887255958121429,-0.09419128544130634,-0.20769687574290557,-0.06411225227705167,1,-0.2774997737987618,0,-0.2707316969190595,0,-0.26493646831291706,-0.22636207864700622,0,1,1,5035,3.1549155908639523,145112,0
0,0,1,-0.0583317555515336,-0.09826691827740067,-0.24741922210907474,-0.05910404882766156,1,-0.6490024815295192,0,-0.2707316969190595,0,1.3751031263426732,-0.22636207864700622,0,1,1,5129,2.368687853382726,476758,0
0,0,1,-0.05885240986354156,-0.08527964050865233,-0.1308677336545923,-0.06298136762718938,1,-2.878018727914064,0,0.2831648794708464,0,-0.26493646831291706,-0.22636207864700622,0,1,0,5704,4.05171809256662,292830,0
0,0,0,-0.05900497201163511,-0.10474534957656552,-0.37618724588869856,-0.06443536217701232,1,0.8370083493935105,0,0.2831648794708464,0,-0.26493646831291706,0.8327566583145267,0,1,1,3295,0.0115326251896813,246,1
0,0,1,-0.056303110761553754,0.151532876370679,-0.29649800980346364,-0.060881153277445144,1,0.8370083493935105,0,-0.8246282733089655,0,-0.26493646831291706,-0.22636207864700622,0,1,0,3966,1.899394856278366,63629505,1
0,0,1,-0.058947401389713015,-0.06973748842474041,-0.3753366603134059,-0.06443536217701232,1,0.4655056416627531,0,0.09853268734087775,0,-0.26493646831291706,-0.22636207864700622,0,1,1,3313,0.0356172653184425,197872,1
